,Voter,Votes,Voted
1495,loftradio_,10,EricCMack
1496,jondashkyle,600,EricCMack
1497,c_lemp,5,EricCMack
1498,virtual_______,3,EricCMack
1499,ShawnKanungo,250,EricCMack
1500,bitsikka,480,EricCMack
1501,StatefulWorks,1240,EricCMack
1502,ChrisBlec,10,EricCMack
1503,jamiew,169,EricCMack
1504,sweetkeats,540,EricCMack
1505,teendaze,50,EricCMack
1506,WPeaster,70,EricCMack
1507,David_Rudnick,100,EricCMack
1508,jami_welch_,50,hollyherndon
1509,MPtherealMVP,370,hollyherndon
1510,______jpg______,100,hollyherndon
1511,matdryhurst,2190,hollyherndon
1512,codybrown,850,hollyherndon
1513,mybellalogica,100,hollyherndon
1514,teendaze,350,hollyherndon
1515,ran_dom,5,hollyherndon
1516,LEAVINGRECORDS,520,hollyherndon
1517,stephenpdiesel,150,hollyherndon
1518,tinymixtapes,10,hollyherndon
1519,quiettheory,250,hollyherndon
1520,TaylorSizem_re,5,hollyherndon
1521,JackSpallone,350,hollyherndon
1522,jondashkyle,1190,hollyherndon
1523,jzstern,20,hollyherndon
1524,loftradio_,20,hollyherndon
1525,catalogworks,120,hollyherndon
1526,moredillon,2,hollyherndon
1527,john_c_palmer,500,hollyherndon
1528,mikemckain_,100,hollyherndon
1529,billyrennekamp,300,hollyherndon
1530,beaugunderson,65,hollyherndon
1531,FWBtweets,250,hollyherndon
1532,doesare,15,hollyherndon
1533,Houses,100,hollyherndon
1534,stephenpdiesel,560,hvdsonofficial
1535,DrewCoffman,111,hvdsonofficial
1536,teendaze,300,hvdsonofficial
1537,jzstern,50,hvdsonofficial
1538,catalogworks,650,hvdsonofficial
1539,FWBtweets,50,hvdsonofficial
1540,chrismartz,480,hvdsonofficial
1541,loftradio_,70,hvdsonofficial
1542,songcampdotband,600,hvdsonofficial
1543,matthewchaim,560,hvdsonofficial
1544,algoriddims,5,hvdsonofficial
1545,quiettheory,1020,hvdsonofficial
1546,moredillon,2,hvdsonofficial
1547,basgras,100,hvdsonofficial
1548,jubrilade_,750,hvdsonofficial
1549,thisisthetruth,10,hvdsonofficial
1550,colingaffney_,30,hvdsonofficial
1551,EricCMack,15,hvdsonofficial
1552,ive77i,116,hvdsonofficial
1553,mybellalogica,150,hvdsonofficial
1554,troels_a,35,hvdsonofficial
1555,rowanspencer__,480,hvdsonofficial
1556,johnnymalandras,10,hvdsonofficial
1557,mikemckain_,80,hvdsonofficial
1558,CryptoCosmicOwl,310,hvdsonofficial
1559,belGIANgwaffles,500,hvdsonofficial
1560,hubbersnaks,60,hvdsonofficial
1561,Freakyfunkhorse,20,hvdsonofficial
1562,Adekolaseyi,1,hvdsonofficial
1563,derekgtaylor,100,hvdsonofficial
1564,HEATDAO,200,hvdsonofficial
1565,raihan_,300,hvdsonofficial
1566,Jad_AE,150,hvdsonofficial
1567,AdrianRicard0,40,hvdsonofficial
1568,NatalieCrue,2,hvdsonofficial
1569,kevinduquette,20,hvdsonofficial
1570,benschecter,850,OrcaProtocol
1571,ljxie,1500,OrcaProtocol
1572,OrcaProtocol,30,OrcaProtocol
1573,thattallguy,50,OrcaProtocol
1574,Cooopahtroopa,250,OrcaProtocol
1575,Julia_R0senberg,70,OrcaProtocol
1576,MarkBeylin,500,OrcaProtocol
1577,______jpg______,1030,OrcaProtocol
1578,albiverse,30,OrcaProtocol
1579,ljin18,900,OrcaProtocol
1580,medhakothari,450,OrcaProtocol
1581,limindu1,50,OrcaProtocol
1582,_kinjalbshah,610,OrcaProtocol
1583,she_256,1020,OrcaProtocol
1584,thycommodore,40,OrcaProtocol
1585,notscottmoore,500,OrcaProtocol
1586,JohnSterlacci,20,OrcaProtocol
1587,ThompsonTheDan,10,OrcaProtocol
1588,broderick,280,broderick
1589,ran_dom,7,broderick
1590,mattjrosenberg,30,broderick
1591,darthjulian,1,broderick
1592,SpaceXponential,257,broderick
1593,TiwariKratika22,2,broderick
1594,codygallo,580,broderick
1595,jami_welch_,20,broderick
1596,ShawnKanungo,40,broderick
1597,john_c_palmer,1000,broderick
1598,EricCMack,5,broderick
1599,fishvote_,1020,broderick
1600,strangechances,120,broderick
1601,tubefilter,10,broderick
1602,joshuaJcohen,10,broderick
1603,selimimoberdorf,10,broderick
1604,bummervacation,60,broderick
1605,c_lemp,10,broderick
1606,StatefulWorks,150,broderick
1607,idislikebrian,10,broderick
1608,chaykak,2170,broderick
1609,jubrilade_,5,broderick
1610,Iiterature,880,broderick
1611,belGIANgwaffles,570,broderick
1612,iodave,20,broderick
1613,Cooopahtroopa,50,broderick
1614,ethan_ill,40,broderick
1615,jondashkyle,500,broderick
1616,cyvattes,30,broderick
1617,ljin18,1000,ballmatthew
1618,Iiterature,1170,ballmatthew
1619,john_c_palmer,1000,ballmatthew
1620,stephenpdiesel,200,ballmatthew
1621,jessewldn,1140,ballmatthew
1622,daranda,500,ballmatthew
1623,Cooopahtroopa,100,ballmatthew
1624,natemodi,10,ballmatthew
1625,whatdotcd,1120,ballmatthew
1626,ckurdziel,201,ballmatthew
1627,masonnystrom,100,ballmatthew
1628,strangechances,150,ballmatthew
1629,andrewhong5297,200,ballmatthew
1630,jondashkyle,50,ballmatthew
1631,awkweb,500,ballmatthew
1632,patrickxrivera,50,ballmatthew
1633,SpaceXponential,26,ballmatthew
1634,spencernoon,250,ballmatthew
1635,web3brett,100,ballmatthew
1636,braeden_norris,5,ballmatthew
1637,ValentinoVyper,10,pillheadddd
1638,thehumanoidtyp2,10,pillheadddd
1639,CapStonk,10,pillheadddd
1640,BeautifoolData,10,pillheadddd
1641,SayNsikak,10,pillheadddd
1642,prestonattebery,10,pillheadddd
1643,Julius2651,10,pillheadddd
1644,SacDaddy17,10,pillheadddd
1645,pesconett,10,pillheadddd
1646,Cryptageno,10,pillheadddd
1647,n1njaturtle99,10,pillheadddd
1648,teedeechian,10,pillheadddd
1649,doja_crown,10,pillheadddd
1650,trimabe1,10,pillheadddd
1651,AdeniyiNinoh,10,pillheadddd
1652,SPARROWWKD,10,pillheadddd
1653,Lexander_naz,10,pillheadddd
1654,Isildur_eth,10,pillheadddd
1655,LyricsorNothing,10,pillheadddd
1656,Snipe_FX,10,pillheadddd
1657,cryptoHUNT0,10,pillheadddd
1658,JBhattAD1,10,pillheadddd
1659,Meliodas654,10,pillheadddd
1660,Hxnshaw,10,pillheadddd
1661,Damn__01,10,pillheadddd
1662,Freakyfunkhorse,10,pillheadddd
1663,CryptoJohnnyB1,10,pillheadddd
1664,xico_ni,10,pillheadddd
1665,noble_12994,10,pillheadddd
1666,28truh,10,pillheadddd
1667,ikeoha_II,10,pillheadddd
1668,shavbhatt,10,pillheadddd
1669,TOmaduvie,10,pillheadddd
1670,Crypto_Lord10,10,pillheadddd
1671,Napoleon_TC,10,pillheadddd
1672,Ik71584118,10,pillheadddd
1673,elijahfavour6,10,pillheadddd
1674,BrightGSamuel,10,pillheadddd
1675,felixtaiwo12,10,pillheadddd
1676,Fayaboi,10,pillheadddd
1677,jack_morello,10,pillheadddd
1678,timm_ot,10,pillheadddd
1679,LadyV43175506,10,pillheadddd
1680,cryptoshav,10,pillheadddd
1681,Max1mani,10,pillheadddd
1682,Damsel97503732,10,pillheadddd
1683,becklyn06,10,pillheadddd
1684,ade_crown8,10,pillheadddd
1685,Joseph38731267,10,pillheadddd
1686,CryptoFormels,10,pillheadddd
1687,sexiesttimmy,10,pillheadddd
1688,EfaEtim,10,pillheadddd
1689,Debschuks,10,pillheadddd
1690,BaloTomi,10,pillheadddd
1691,Jesusbaby4life,10,pillheadddd
1692,IamRhazkid,10,pillheadddd
1693,Furzzyforch,10,pillheadddd
1694,jaycedevan,10,pillheadddd
1695,ElishaWillison,10,pillheadddd
1696,josh_osemobo,10,pillheadddd
1697,Brainy74917858,10,pillheadddd
1698,TreyJackson_,10,pillheadddd
1699,Dahuuj,10,pillheadddd
1700,boyclint3,10,pillheadddd
1701,GodsonChidera,10,pillheadddd
1702,Formels_,10,pillheadddd
1703,olatinexky,10,pillheadddd
1704,sisiuju,10,pillheadddd
1705,mr_Zoyel,10,pillheadddd
1706,KKBAD11,10,pillheadddd
1707,Babajide181,10,pillheadddd
1708,NnaemekaChined7,10,pillheadddd
1709,Tobenna3,10,pillheadddd
1710,ABDULLAHIHAROO4,10,pillheadddd
1711,oshekeyta,10,pillheadddd
1712,johnytodemosi,10,pillheadddd
1713,TaiwoOladotun6,10,pillheadddd
1714,_chIIedu,10,pillheadddd
1715,jarroddicker,1060,pillheadddd
1716,ezzzrrra,310,pillheadddd
1717,CryptoLurker8,10,pillheadddd
1718,habohabr,10,pillheadddd
1719,MiBella21087257,10,pillheadddd
1720,jstn,1000,pillheadddd
1721,woshvad,10,pillheadddd
1722,justubko,10,pillheadddd
1723,OmotolaniSoyemi,10,pillheadddd
1724,bassey_rex,10,pillheadddd
1725,Marting76248328,10,pillheadddd
1726,khrispy22,10,pillheadddd
1727,Chayoma101,10,pillheadddd
1728,kelv990,10,pillheadddd
1729,crypto_capta00,10,pillheadddd
1730,Mepuru___,10,pillheadddd
1731,sirwasec,10,pillheadddd
1732,HMcCoY60,10,pillheadddd
1733,landsident,10,pillheadddd
1734,Fred_D_led,10,pillheadddd
1735,Daiveeeed,10,pillheadddd
1736,Akinz141,10,pillheadddd
1737,Qoded_q,10,pillheadddd
1738,Zeeluvly3,10,pillheadddd
1739,CrypalAD,10,pillheadddd
1740,Yeahcrypto2,10,pillheadddd
1741,PT_NwosuCeeCee,10,pillheadddd
1742,khrispyshots,10,pillheadddd
1743,Gudlok_,10,pillheadddd
1744,Oluwashizzy01,10,pillheadddd
1745,desolah_,10,pillheadddd
1746,RasaqAdekunle13,10,pillheadddd
1747,Therealkt427,10,pillheadddd
1748,le_roy6,10,pillheadddd
1749,Mike45466254,10,pillheadddd
1750,ckurdziel,10,pillheadddd
1751,es_star021,10,pillheadddd
1752,UzoijeNdubuisi,10,pillheadddd
1753,_crypto_memes_,10,pillheadddd
1754,Aphex__,10,pillheadddd
1755,Crypto_capta11,10,pillheadddd
1756,Smiles5631,10,pillheadddd
1757,tunzii_,10,pillheadddd
1758,beatz_bliz,10,pillheadddd
1759,naninick27,10,pillheadddd
1760,NkwochaEmmanue8,10,pillheadddd
1761,Nogoodtwts,320,pillheadddd
1762,OkiPeter2,10,pillheadddd
1763,makapinki,20,pillheadddd
1764,GospelNathaniel,10,pillheadddd
1765,resortman_,10,pillheadddd
1766,TheGodMan15,10,pillheadddd
1767,Adwoa27,10,pillheadddd
1768,Emedion64035381,10,pillheadddd
1769,ChigbufueOgechi,10,pillheadddd
1770,m1guelpf,10,pillheadddd
1771,eedres,10,pillheadddd
1772,daddy_IongIegs,10,pillheadddd
1773,Dagr8oct,10,pillheadddd
1774,DemolaAbel,10,pillheadddd
1775,BitFlaws,10,pillheadddd
1776,brthanks123,10,pillheadddd
1777,mikemckain_,15,pillheadddd
1778,haysoos88,10,pillheadddd
1779,speed_milner,10,pillheadddd
1780,The_Muffin_G,10,pillheadddd
1781,rukevwe404,10,pillheadddd
1782,I_amVickiti,10,pillheadddd
1783,AaronAboge,10,pillheadddd
1784,HunpeMausi,10,pillheadddd
1785,UsmanAyodejiAb1,10,pillheadddd
1786,Pitch_111a,5,pillheadddd
1787,LamSlimenstein,10,pillheadddd
1788,ndantiobong,10,pillheadddd
1789,sally9098,10,pillheadddd
1790,Sweetestgloeu,10,pillheadddd
1791,AmupitanOluwaf1,10,pillheadddd
1792,AkohAtanu,10,pillheadddd
1793,JarvizAd,10,pillheadddd
1794,RichardEghosa,10,pillheadddd
1795,Stefan15250180,10,pillheadddd
1796,Emma99659371,10,pillheadddd
1797,doggystyleJ,10,pillheadddd
1798,bizflaws,10,pillheadddd
1799,zicky_khris,10,pillheadddd
1800,Talivet1,10,pillheadddd
1801,OGBgudy,10,pillheadddd
1802,_kanimoh,10,pillheadddd
1803,tonia_ugochii,10,pillheadddd
1804,Jessyfelly,10,pillheadddd
1805,ETH4ME,10,pillheadddd
1806,phransis69,10,pillheadddd
1807,Dahuuj2,10,pillheadddd
1808,ChikamsoAtuh2,10,pillheadddd
1809,heyneel,10,pillheadddd
1810,CharlzOlaomi,10,pillheadddd
1811,greater_glory20,10,pillheadddd
1812,AdamsJinom,10,pillheadddd
1813,tgooners,10,pillheadddd
1814,Its__melvin,10,pillheadddd
1815,vennyrenny,10,pillheadddd
1816,Iphire_J,10,pillheadddd
1817,teeshake9,10,pillheadddd
1818,CBraunstein86,10,pillheadddd
1819,kennyklexzy,10,pillheadddd
1820,jojothomas1515,10,pillheadddd
1821,sirsuhayb,40,pillheadddd
1822,Cryptobill101,10,pillheadddd
1823,Blossom4Jesus,10,pillheadddd
1824,thundamania,10,pillheadddd
1825,MaxTat1,10,pillheadddd
1826,Etienooo,10,pillheadddd
1827,Harjybhorlah,10,pillheadddd
1828,canon_crypto,10,pillheadddd
1829,R2daD1,10,pillheadddd
1830,Kellerchamp,10,pillheadddd
1831,elcoshed,10,pillheadddd
1832,CastedQueen,10,pillheadddd
1833,El_CHAAPPO,10,pillheadddd
1834,pr_thanks,10,pillheadddd
1835,NnadozieUkah,10,pillheadddd
1836,babalolaayotund,10,pillheadddd
1837,Samola23,10,pillheadddd
1838,anomahChristian,10,pillheadddd
1839,MicahOmokorede,10,pillheadddd
1840,uche_nnay,10,pillheadddd
1841,LazyKally,10,pillheadddd
1842,memejayy5,10,pillheadddd
1843,opeyem54,10,pillheadddd
1844,Sammytotheworld,10,pillheadddd
1845,amjennymj,10,pillheadddd
1846,daGr8AY,10,pillheadddd
1847,paulo02798894,10,pillheadddd
1848,petersgospel,10,pillheadddd
1849,Mexdevv,10,pillheadddd
1850,jamiew,10,pillheadddd
1851,Maxxi2168,10,pillheadddd
1852,richrichie5050,10,pillheadddd
1853,starlena15,10,pillheadddd
1854,nworah_stanley,10,pillheadddd
1855,Ifesi37268822,10,pillheadddd
1856,QueenChimda,10,pillheadddd
1857,menny_denny,10,pillheadddd
1858,AkinAyoAyo,10,pillheadddd
1859,samdxl,10,pillheadddd
1860,knowstalgik,10,pillheadddd
1861,itsamyjung,10,pillheadddd
1862,yourfavedan,10,pillheadddd
1863,Bart08013700,10,pillheadddd
1864,Huthman6,10,pillheadddd
1865,heynomzy,10,pillheadddd
1866,Imaribi1,10,pillheadddd
1867,Omekara_IC,10,pillheadddd
1868,Mc1Mc12,10,pillheadddd
1869,IfechukwNwoye,10,pillheadddd
1870,ZhaliPT,10,pillheadddd
1871,ig_tife,10,pillheadddd
1872,nahamson,10,pillheadddd
1873,Jantje85883622,10,pillheadddd
1874,Adebunmi24,10,pillheadddd
1875,_JarvisAd,10,pillheadddd
1876,ceefoon,10,pillheadddd
1877,babasleezy,10,pillheadddd
1878,aboladejohnny,10,pillheadddd
1879,Mc_iprof,10,pillheadddd
1880,krunal56968936,10,pillheadddd
1881,Delaw90,10,pillheadddd
1882,Tosin94996660,10,pillheadddd
1883,matonip,10,pillheadddd
1884,real_nuelblack,10,pillheadddd
1885,LeopoldHeg,10,pillheadddd
1886,Striglis,10,pillheadddd
1887,Ejiropeter,10,pillheadddd
1888,DebbyHunpe,10,pillheadddd
1889,ceempaul,10,pillheadddd
1890,BaterenR,10,pillheadddd
1891,mandykayman,10,pillheadddd
1892,_Errrgh,10,pillheadddd
1893,dApp_boi,1000,pillheadddd
1894,Cryptog59011889,10,pillheadddd
1895,langy3544,10,pillheadddd
1896,__bellar,10,pillheadddd
1897,Ilnur94551132,10,pillheadddd
1898,OlegDubinin2,10,pillheadddd
1899,Emil97225614,10,pillheadddd
1900,RadifSharifull1,10,pillheadddd
1901,FarviewLand,10,pillheadddd
1902,saviska123,10,pillheadddd
1903,naijadrops,10,pillheadddd
1904,Creattiveme,10,pillheadddd
1905,Justicce10,10,pillheadddd
1906,chisomdvd,10,pillheadddd
1907,kanemonday,10,pillheadddd
1908,ayomidesmiles1,10,pillheadddd
1909,i_amAcezian,10,pillheadddd
1910,_bukkky,10,pillheadddd
1911,Drazin8,10,pillheadddd
1912,seanmitchell,30,pillheadddd
1913,Wolves_hampton,10,pillheadddd
1914,eny_codes,10,pillheadddd
1915,smithe113,10,pillheadddd
1916,bcomnes,10,pillheadddd
1917,ShadyxRoyce,10,pillheadddd
1918,sonbro9,10,pillheadddd
1919,oyiwe_lens,11,pillheadddd
1920,CodakWeb,10,pillheadddd
1921,Eminue4,1,pillheadddd
1922,Chimdalu_O,10,pillheadddd
1923,Jeet98359541,10,pillheadddd
1924,Nadya93a,10,pillheadddd
1925,jtitus2000,10,pillheadddd
1926,haslek16,10,pillheadddd
1927,Dracko87838141,10,pillheadddd
1928,jhannie_behz,10,pillheadddd
1929,the_Kobz,10,pillheadddd
1930,AdelabuMicheal1,10,pillheadddd
1931,ErLpopo,10,pillheadddd
1932,Fawazyiwola,10,pillheadddd
1933,lukaymua,10,pillheadddd
1934,cynderellaman,10,pillheadddd
1935,EnouwemJim,5,pillheadddd
1936,OgunsanyaSmith,10,pillheadddd
1937,richardoluwas16,10,pillheadddd
1938,olaaoladapo,10,pillheadddd
1939,Teetop16013559,10,pillheadddd
1940,Ilesanmitimile8,10,pillheadddd
1941,protonnex,10,pillheadddd
1942,Shawcrosz,10,pillheadddd
1943,ChigereA,10,pillheadddd
1944,mr_lebey,10,pillheadddd
1945,OladimejiOloto,10,pillheadddd
1946,sheamu6,10,pillheadddd
1947,Zaddy_Kenny,10,pillheadddd
1948,obikante,10,pillheadddd
1949,CieLaHeart,10,pillheadddd
1950,SafeCryptohands,10,pillheadddd
1951,lukaymua2,10,pillheadddd
1952,d_realeni,10,pillheadddd
1953,mrsabisabi,10,pillheadddd
1954,Chuzy5,10,pillheadddd
1955,ObafemiOyeniyi2,10,pillheadddd
1956,Ogapikinn,10,pillheadddd
1957,iJohnPips,10,pillheadddd
1958,AdeFolayinka,10,pillheadddd
1959,Miller68987675,10,pillheadddd
1960,Bholy4christ,10,pillheadddd
1961,Teedayve,10,pillheadddd
1962,Usagi0835,10,pillheadddd
1963,BamigboyeTitil2,10,pillheadddd
1964,AyomideTemidire,10,pillheadddd
1965,Demigod_TM,10,pillheadddd
1966,Davo07989450,10,pillheadddd
1967,bigboy_lowkey,10,pillheadddd
1968,Johnchukwua,10,pillheadddd
1969,Tingizzy1,10,pillheadddd
1970,Ibrosalaam,10,pillheadddd
1971,KRupyaa,10,pillheadddd
1972,Vicmeek2,10,pillheadddd
1973,PeterFriendship,10,pillheadddd
1974,iamRajivol,10,pillheadddd
1975,Delight_RN,10,pillheadddd
1976,Amsooguy1,10,pillheadddd
1977,OlumayowaSmith,10,pillheadddd
1978,olatkay21,10,pillheadddd
1979,OLATUNJILawre11,10,pillheadddd
1980,BoseBlessing7,10,pillheadddd
1981,Tracker60913949,10,pillheadddd
1982,HODLinfluencer,10,pillheadddd
1983,FirandikaWildan,10,pillheadddd
1984,Thrusted14,10,pillheadddd
1985,iamefosa1,10,pillheadddd
1986,abiqas95,10,pillheadddd
1987,stephensonhmatt,130,pillheadddd
1988,emioshio,10,pillheadddd
1989,Niyblinkz1,10,pillheadddd
1990,Praevalidus1,10,pillheadddd
1991,skyxyz12,10,pillheadddd
1992,AndikaDana4,10,pillheadddd
1993,toluwa500,10,pillheadddd
1994,Davnazzz,10,pillheadddd
1995,eprolific1,10,pillheadddd
1996,MZaynulhaq,10,pillheadddd
1997,ggold81355854,10,pillheadddd
1998,Demjohnz,10,pillheadddd
1999,AbuqasG,10,pillheadddd
2000,ade_overflow,10,pillheadddd
2001,Vtube_token,10,pillheadddd
2002,TNwaligbe,10,pillheadddd
2003,_eujay,10,pillheadddd
2004,Crept89454536,10,pillheadddd
2005,Lush_Seed,10,pillheadddd
2006,ajayiaduragbem7,10,pillheadddd
2007,igolde2,10,pillheadddd
2008,AbdullahiBola11,10,pillheadddd
2009,naspuka,10,pillheadddd
2010,Officialriccom1,10,pillheadddd
2011,Jaypee2030,10,pillheadddd
2012,ojeolakehinde,10,pillheadddd
2013,LEZZYBRUV,10,pillheadddd
2014,officialkelly09,10,pillheadddd
2015,AvworoJnr,10,pillheadddd
2016,ZayNasty209,10,pillheadddd
2017,hanid_sodiq,10,pillheadddd
2018,fmkhabib,10,pillheadddd
2019,OkokoVero,10,pillheadddd
2020,zeemxo_,10,pillheadddd
2021,Goldenprince4u2,10,pillheadddd
2022,Fengist1,10,pillheadddd
2023,0x_td_elb,10,pillheadddd
2024,RoninImperial,25,pillheadddd
2025,Damtexjay14,10,pillheadddd
2026,yusuff4u2c,10,pillheadddd
2027,denson__,10,pillheadddd
2028,Santivan951,10,pillheadddd
2029,Adamsbite1,10,pillheadddd
2030,bezos_paul,10,pillheadddd
2031,OgunrinadeOluw2,5,pillheadddd
2032,PissedMarveh,0,pillheadddd
2033,tosho_love,10,pillheadddd
2034,zizycrypto,10,pillheadddd
2035,asalim28,10,pillheadddd
2036,be_ramons,10,pillheadddd
2037,Jahypeek,10,pillheadddd
2038,Kadeleke2,10,pillheadddd
2039,Goxmos,10,pillheadddd
2040,Sidzinies,10,pillheadddd
2041,dberenzon,1080,zachingrasci
2042,AlexisGauba,800,zachingrasci
2043,ljxie,1000,zachingrasci
2044,jessewldn,750,zachingrasci
2045,0xstark,500,zachingrasci
2046,rara_social,400,zachingrasci
2047,trent_vanepps,620,zachingrasci
2048,devinawalsh,1040,zachingrasci
2049,evabeylin,500,zachingrasci
2050,Cooopahtroopa,100,zachingrasci
2051,lwsnbaker,10,zachingrasci
2052,spencernoon,500,zachingrasci
2053,Christemple8,10,zachingrasci
2054,natemodi,5,zachingrasci
2055,annascarroll,200,zachingrasci
2056,strangechances,50,zachingrasci
2057,willwarren89,10,zachingrasci
2058,chrismartz,2933,B666S
2059,ayenwhyay,1,B666S
2060,jondashkyle,150,B666S
2061,quasimatt,1170,B666S
2062,Houses,350,B666S
2063,ShawnKanungo,10,B666S
2064,RockyDSkyler,10,B666S
2065,Adekolaseyi,1,B666S
2066,awkweb,200,B666S
2067,errorgardener,50,B666S
2068,erixink,3,B666S
2069,notscottmoore,1370,B666S
2070,owocki,1000,B666S
2071,stephenpdiesel,280,B666S
2072,Gorath_T,10,B666S
2073,heon_ben,10,B666S
2074,bananabreds,1,B666S
2075,bitsikka,900,owocki
2076,m1guelpf,950,owocki
2077,jacksondame,69,owocki
2078,zherring,20,owocki
2079,jzstern,40,owocki
2080,masonnystrom,190,owocki
2081,loftradio_,40,owocki
2082,StatefulWorks,150,owocki
2083,tiagopavan,10,owocki
2084,notscottmoore,200,owocki
2085,ljxie,570,owocki
2086,CreatorCabins,100,owocki
2087,DHannum8,840,owocki
2088,Sim_Pop,700,owocki
2089,Cooopahtroopa,290,owocki
2090,MPtherealMVP,400,owocki
2091,0x_Osprey,20,owocki
2092,RoninImperial,50,owocki
2093,john_c_palmer,500,owocki
2094,FWBtweets,100,owocki
2095,trent_vanepps,100,owocki
2096,khole_dena,200,owocki
2097,rara_social,20,owocki
2098,SuperRare,400,owocki
2099,catalogworks,20,owocki
2100,TheDavidZhou,50,owocki
2101,mikemckain_,10,owocki
2102,MarkBeylin,600,owocki
2103,songcampdotband,1787,rowanspencer__
2104,matthewchaim,1572,rowanspencer__
2105,SpaceXponential,11,rowanspencer__
2106,rowanspencer__,10,rowanspencer__
2107,quiettheory,280,rowanspencer__
2108,jessewldn,400,rowanspencer__
2109,belGIANgwaffles,680,rowanspencer__
2110,GavinSlate,6,rowanspencer__
2111,teendaze,605,rowanspencer__
2112,chrismartz,120,rowanspencer__
2113,quasimatt,500,rowanspencer__
2114,stephenpdiesel,10,rowanspencer__
2115,DLROWiAM,21,rowanspencer__
2116,winterforwiner,120,rowanspencer__
2117,Saaamsonite,2,rowanspencer__
2118,obspoud,40,rowanspencer__
2119,enaraxr,10,rowanspencer__
2120,j_humenansky,65,rowanspencer__
2121,matarr9,1,rowanspencer__
2122,hubbersnaks,2,rowanspencer__
2123,qingdou2019,2,rowanspencer__
2124,samccarthy27,10,rowanspencer__
2125,ive77i,2,rowanspencer__
2126,daranda,420,rowanspencer__
2127,piercesword,10,rowanspencer__
2128,DrewCoffman,202,rowanspencer__
2129,thisisthetruth,10,rowanspencer__
2130,jongold,110,rowanspencer__
2131,Creampp123,110,rowanspencer__
2132,qiuqiualg,70,rowanspencer__
2133,mikemckain_,10,rowanspencer__
2134,ecrivaine_k,200,rowanspencer__
2135,mobliducke,70,rowanspencer__
2136,colingaffney_,10,rowanspencer__
2137,yollo,1,rowanspencer__
2138,jondashkyle,50,rowanspencer__
2139,mybellalogica,1290,jumperstweeting
2140,MrRatcliff,60,jumperstweeting
2141,thattallguy,1560,jumperstweeting
2142,seedclubhq,2870,jumperstweeting
2143,ampl3d,310,jumperstweeting
2144,GrendelCrypto,10,jumperstweeting
2145,jumperstweeting,10,jumperstweeting
2146,Cooopahtroopa,150,jumperstweeting
2147,_willthompson,5,jumperstweeting
2148,rara_social,669,jumperstweeting
2149,lwsnbaker,5,jumperstweeting
2150,tracydetg,40,jumperstweeting
2151,Square1_pod,20,jumperstweeting
2152,DHannum8,500,jumperstweeting
2153,fednovikov,60,8ball_sean
2154,john_c_palmer,100,8ball_sean
2155,whatdotcd,1150,8ball_sean
2156,chewdone,2,8ball_sean
2157,awkweb,190,8ball_sean
2158,strangechances,150,8ball_sean
2159,sweetkeats,1000,8ball_sean
2160,khole_dena,1070,8ball_sean
2161,billyrennekamp,525,8ball_sean
2162,groguforce,1,8ball_sean
2163,Iiterature,190,8ball_sean
2164,mikemckain_,20,8ball_sean
2165,matdryhurst,300,8ball_sean
2166,TiwariKratika22,20,8ball_sean
2167,Alex_Siber,10,8ball_sean
2168,chrismartz,20,8ball_sean
2169,web3brett,400,8ball_sean
2170,kneelingbus,1120,8ball_sean
2171,daranda,870,8ball_sean
2172,packyM,200,8ball_sean
2173,ecrivaine_k,100,8ball_sean
2174,jarroddicker,1590,VirtualElena
2175,VirtualElena,10,VirtualElena
2176,jacksondame,300,VirtualElena
2177,otherinternet__,1010,VirtualElena
2178,john_c_palmer,100,VirtualElena
2179,seyitaylor,500,VirtualElena
2180,singareddynm,20,VirtualElena
2181,aweissman,1000,VirtualElena
2182,kneelingbus,500,VirtualElena
2183,stephensonhmatt,300,VirtualElena
2184,qingdou2019,1,VirtualElena
2185,ckurdziel,100,VirtualElena
2186,piercze,1090,VirtualElena
2187,Nogoodtwts,100,VirtualElena
2188,Ajrocwhm,110,VirtualElena
2189,jiayaliu,60,VirtualElena
2190,winterforwiner,60,VirtualElena
2191,Ericaqu38119446,60,VirtualElena
2192,albertethwin,60,VirtualElena
2193,strangechances,25,VirtualElena
2194,mobliducke,60,VirtualElena
2195,timefurutravel,50,VirtualElena
2196,holdfurubang,60,VirtualElena
2197,unicornfews,60,VirtualElena
2198,idislikebrian,1,VirtualElena
2199,jasoncooperpix,1,VirtualElena
2200,xilufeng1,50,VirtualElena
2201,ramgsini,50,VirtualElena
2202,robwallet,50,VirtualElena
2203,kinlpame,50,VirtualElena
2204,Veroniacy,50,VirtualElena
2205,bitsikka,173,pet3rpan_
2206,riversidemetal1,20,pet3rpan_
2207,FWBtweets,169,pet3rpan_
2208,MarkBeylin,350,pet3rpan_
2209,jzstern,40,pet3rpan_
2210,loftradio_,110,pet3rpan_
2211,catalogworks,60,pet3rpan_
2212,______jpg______,260,pet3rpan_
2213,zherring,70,pet3rpan_
2214,notscottmoore,360,pet3rpan_
2215,William94029369,1,pet3rpan_
2216,ljxie,100,pet3rpan_
2217,pswgnr,5,pet3rpan_
2218,masonnystrom,600,pet3rpan_
2219,selimimoberdorf,3,pet3rpan_
2220,jaesmail,250,pet3rpan_
2221,CreatorCabins,100,pet3rpan_
2222,Cooopahtroopa,300,pet3rpan_
2223,DHannum8,500,pet3rpan_
2224,mccallios,30,pet3rpan_
