source,target,CF_contribution
0x0482d6bf3b83470ee4ee87c20a98d38249138e1b,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.002
0x04bfb0034f24e424489f566f32d1f57647469f9e,0xc3268ddb8e38302763ffdc9191fcebd4c948fe1b,0.1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.3
0x04e28930a2c3ba692fae79ab27f41fc397c9a33c,0xc46e9a66fddc8d1a69529d86e668236f02957f1b,0.05
0x04e28930a2c3ba692fae79ab27f41fc397c9a33c,0xda18e1537622802ec576d99a8e3913914653bd6f,0.04
0x04f4f330e30123939a325d8b2c45e5d7531ed218,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.01
0x057657f5ed3da2cbf7999a0179de227265f41b39,0xc3268ddb8e38302763ffdc9191fcebd4c948fe1b,0.18
0x057ee17c467852f4df0946fdcac72359d11eb555,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.1
0x063e8459ee2f4b405e6f2284b0c2079fe08ce9e6,0x969d53ead869b7242715038551e1cbdbce514b68,0.3
0x0653f05d22e5fe46f15639616e3bfd51c9060214,0x345122f6513329d169cff39ace8978edc3942b5d,0.05
0x0653f05d22e5fe46f15639616e3bfd51c9060214,0x6c70e5fc4e4926cd836a6f8b0645aa1a077fa605,0.05
0x0653f05d22e5fe46f15639616e3bfd51c9060214,0xc3268ddb8e38302763ffdc9191fcebd4c948fe1b,0.05
0x0653f05d22e5fe46f15639616e3bfd51c9060214,0xc46e9a66fddc8d1a69529d86e668236f02957f1b,0.05
0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x0675d0c774f64df282c3d866978bc7c491e8019a,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x06bc596fb16734f7abc3a5996b580be932c2fb72,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.206
0x06c4865ab16c9c760622f19a313a2e637e2e66a2,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.005
0x06c8270541b2fb47a987b129a2eeea44287f70fe,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.025
0x06e44e41db9add473aadf75c1c9eadf3cf5b74c9,0xc3268ddb8e38302763ffdc9191fcebd4c948fe1b,0.00314159265359
0x072938db4dd5c5f25b77d11fbecdb35a0f14e022,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.02
